model,stage,params_json,train_time_s,predict_time_val_s,predict_time_test_s,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,best_iteration,best_score
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",6.035038123999584,0.026263105999532854,0.02569105699967622,0.9992960797054364,0.977753406256013,0.9799671411765686,0.9992941685233692,0.9990253411306043,0.9812562174668606,0.964951943804059,0.9990364053454687,199.0,0.00233221851530849
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",6.0990682769997875,0.026551586000095995,0.029214780000074825,0.99924193199047,0.9776817524870248,0.979654382779171,0.9992400528806848,0.9990794888455707,0.981321563437208,0.9650601791045718,0.999090436914276,199.0,0.00266797639680006
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8}",5.938504562000162,0.026685662999625492,0.026529415999902994,0.9993502274204028,0.9778218806465908,0.9800371606727944,0.9993482879862083,0.9991336365605371,0.9813964636017762,0.9725364328738052,0.9991417907149156,199.0,0.00217766286143754
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",5.950502768000661,0.02706882099937502,0.02653856800043286,0.99924193199047,0.9755572444214623,0.9785806996776278,0.9992397138801823,0.9989170457006714,0.981115971331945,0.9718801214374401,0.9989250301048935,199.0,0.00242250462421998
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.05, ""n_estimators"": 500, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",10.64150912200057,0.04502928400052042,0.04396966400054225,0.9992960797054364,0.9777502268776027,0.97107268565626,0.999297950001468,0.9990253411306043,0.9812562174668606,0.9722924173283021,0.9990334190957667,371.0,0.00199817209202619
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.05, ""n_estimators"": 500, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",11.39862748699943,0.06004958900030033,0.05641601000024821,0.99924193199047,0.9776785731086144,0.9707598962952723,0.999243810960047,0.9989711934156379,0.9811813173022926,0.9648488973942334,0.9989820971081883,402.0,0.0022444673752628
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.05, ""n_estimators"": 500, ""subsample"": 1.0, ""colsample_bytree"": 0.8}",12.878032394999536,0.06935890600016137,0.05685680999977194,0.9994585228503358,0.9779588294277467,0.9801772067086801,0.9994565292597887,0.9991336365605371,0.9813964636017762,0.9725364328738052,0.9991417907149156,484.0,0.00185862831457602
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.05, ""n_estimators"": 500, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",13.96942577200025,0.05749722400014434,0.0709789489992545,0.9994043751353693,0.9778871756587586,0.9798660283338597,0.9994024097656173,0.9989711934156379,0.9811876867651063,0.9721911137830221,0.9989791693513432,499.0,0.00186588675048715
XGBoost,stage1,"{""max_depth"": 12, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",5.846966443000383,0.03731419299947447,0.038764504000027955,0.9992960797054364,0.977753406256013,0.9799671411765686,0.9992941685233692,0.9991336365605371,0.9813996483331829,0.9724653829291884,0.999141728540693,173.0,0.00181841306697841
XGBoost,stage1,"{""max_depth"": 12, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",5.838204753999889,0.03493994400014344,0.037950990999888745,0.99924193199047,0.9776817524870248,0.9796558714550593,0.9992399800095747,0.9990794888455707,0.981324748168615,0.965021958690777,0.999090477822933,172.0,0.00220168619266866
XGBoost,stage1,"{""max_depth"": 12, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8}",5.876528318000055,0.024369321999984095,0.02598387600028218,0.9992960797054364,0.9777502268776027,0.9798940105720187,0.9992941180578312,0.9991336365605371,0.9813932788703693,0.9725363188173616,0.9991417135114302,196.0,0.00211036284608747
XGBoost,stage1,"{""max_depth"": 12, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",5.723812526000074,0.02483039100025053,0.02570448000005854,0.99924193199047,0.9776785731086144,0.9795827402712848,0.9992399291026661,0.9990253411306043,0.9812530327354537,0.9723321732205087,0.9990333019103786,199.0,0.00236311267756061
